Major,Unemployment Rate,Underemployment Rate,Median Wage Early Career,Median Wage Mid-Career,Share with Graduate Degree
Agriculture,2.4,52.1,"45,000","70,000",21.0
Animal and Plant Sciences,4.4,52.5,"42,000","67,000",34.7
Environmental Studies,5.1,50.2,"45,000","68,000",32.5
Architecture,2.1,29.1,"50,000","85,000",38.7
Ethnic Studies,4.4,53.7,"45,000","66,000",49.7
Communications,5.8,52.7,"47,000","75,000",24.2
Journalism,6.5,47.7,"45,000","75,000",27.0
Mass Media,8.4,51.7,"40,000","75,000",21.2
Advertising and Public Relations,4.6,39.2,"50,000","80,000",19.0
Information Systems & Management,6.4,24.7,"54,000","90,000",25.6
Computer Science,4.8,19.1,"73,000","105,000",31.8
General Education,1.8,22.9,"40,200","51,000",50.1
Early Childhood Education,3.1,24.5,"40,000","43,000",40.8
Elementary Education,1.8,15.2,"40,000","48,000",49.0
Secondary Education,2.6,27.0,"40,400","52,000",51.2
Special Education,2.7,17.7,"40,000","52,000",60.7
Miscellaneous Education,0.6,16.7,"40,000","56,000",56.6
General Engineering,5.9,25.3,"60,000","100,000",37.0
Aerospace Engineering,6.6,27.7,"72,000","112,000",49.4
Chemical Engineering,4.1,19.6,"75,000","120,000",47.4
Civil Engineering,3.4,15.1,"65,000","100,000",38.6
Computer Engineering,3.7,17.8,"74,000","114,000",40.0
Electrical Engineering,3.2,15.4,"70,000","109,000",47.7
Industrial Engineering,4.6,18.3,"70,000","100,000",36.9
Mechanical Engineering,5.3,15.8,"70,000","105,000",39.2
Miscellaneous Engineering,3.4,22.9,"68,000","100,000",45.8
Foreign Language,7.8,50.1,"43,000","65,000",50.5
Family and Consumer Sciences,8.9,47.9,"37,000","60,000",32.9
English Language,6.3,48.7,"40,000","65,000",47.5
Liberal Arts,6.2,55.2,"40,000","63,000",30.0
Biology,4.7,46.8,"40,000","75,000",62.9
Biochemistry,4.7,37.4,"45,000","85,000",70.3
Miscellaneous Biological Science,6.3,48.6,"42,000","70,000",60.9
Mathematics,5.8,30.7,"59,000","88,000",52.4
Interdisciplinary Studies,4.8,46.3,"41,800","70,000",37.7
Nutrition Sciences,1.8,45.0,"45,000","60,000",46.3
Leisure and Hospitality,5.3,58.6,"38,000","60,000",34.1
Philosophy,9.1,57.1,"42,000","68,000",56.5
Theology and Religion,3.6,35.5,"36,000","52,000",44.9
Chemistry,3.4,39.5,"47,000","85,000",65.4
Earth Sciences,3.6,38.8,"40,000","70,000",43.8
Physics,6.1,34.9,"53,000","80,000",69.8
Miscellaneous Physical Sciences,5.5,23.2,"52,000","104,000",57.1
Psychology,4.7,47.6,"37,400","65,000",51.0
Criminal Justice,4.5,71.3,"43,900","70,000",24.1
Public Policy and Law,7.4,49.4,"45,000","70,000",46.1
Social Services,3.0,27.7,"37,000","52,000",52.4
Anthropology,6.5,53.3,"40,000","65,000",46.3
Economics,5.5,35.3,"60,000","100,000",42.6
Geography,4.4,44.5,"48,000","75,000",32.6
Political Science,6.9,49.2,"50,000","80,000",53.6
Sociology,9.0,51.3,"40,000","61,000",38.3
General Social Sciences,5.4,50.6,"43,000","65,000",38.5
Construction Services,1.4,17.7,"60,000","100,000",9.9
Art History,5.3,48.8,"48,000","64,000",41.8
Fine Arts,12.1,55.4,"40,000","65,000",23.2
Performing Arts,7.6,64.0,"39,000","62,000",38.5
Commercial Art & Graphic Design,7.9,33.5,"43,000","70,000",11.8
Health Services,5.2,45.6,"40,000","60,000",51.8
Medical Technicians,5.8,59.5,"51,000","71,000",24.6
Nursing,1.3,10.1,"55,000","75,000",29.3
Pharmacy,4.8,14.7,"55,000","100,000",65.1
Treatment Theraphy,5.7,41.3,"48,000","69,000",50.7
General Business,5.3,52.4,"50,000","80,000",25.2
Accounting,3.3,22.6,"54,000","80,000",31.1
Business Management,5.0,55.1,"46,000","75,000",24.6
Business Analytics,2.2,24.8,"66,000","99,000",24.7
Marketing,6.6,52.0,"50,000","85,000",18.6
Finance,4.1,28.7,"60,000","100,000",30.6
International Affairs,7.1,49.3,"50,000","86,000",45.6
History,5.8,49.1,"50,000","70,000",50.2
Engineering Technologies,7.1,39.6,"62,000","90,000",24.3
Miscellaneous Technologies,5.9,48.4,"48,000","80,000",18.5
Overall,5.1,39.8,"50,000","75,000",38.7